product_code,1234,y,z
pt,41.4114,760.409,0
pt,40.7029,759.74,0
pt,39.9987,759.066,0
pt,39.2988,758.388,0
pt,38.603,757.705,0
pt,37.9112,757.018,0
pt,37.2235,756.327,0
pt,36.5397,755.632,0
pt,35.8597,754.933,0
pt,35.1835,754.231,0
pt,34.511,753.525,0
pt,33.842,752.815,0
pt,33.1766,752.102,0
pt,32.5146,751.386,0
pt,31.8559,750.666,0
pt,31.2704,750.021,0
pt,30.6877,749.374,0
pt,30.108,748.724,0
pt,29.5315,748.071,0
pt,28.9583,747.415,0
pt,28.3886,746.756,0
pt,27.8227,746.094,0
pt,27.2607,745.429,0
pt,26.7028,744.76,0
pt,26.1492,744.088,0
pt,25.6,743.413,0
pt,25.0556,742.733,0
pt,24.5159,742.05,0
pt,23.9813,741.363,0
pt,23.452,740.671,0
pt,22.928,739.976,0
pt,22.4652,739.351,0
pt,22.007,738.724,0
pt,21.5534,738.092,0
pt,21.1045,737.458,0
pt,20.6605,736.82,0
pt,20.2213,736.178,0
pt,19.7871,735.533,0
pt,19.3579,734.885,0
pt,18.9339,734.234,0
pt,18.5152,733.579,0
pt,18.1017,732.921,0
pt,17.6937,732.259,0
pt,17.2912,731.595,0
pt,16.8943,730.927,0
pt,16.5031,730.256,0
pt,16.1176,729.582,0
pt,15.6945,728.826,0
pt,15.2785,728.066,0
pt,14.8693,727.303,0
pt,14.4666,726.537,0
pt,14.0701,725.767,0
pt,13.6796,724.994,0
pt,13.2949,724.217,0
pt,12.9156,723.439,0
pt,12.5416,722.657,0
pt,12.1725,721.873,0
pt,11.8082,721.086,0
pt,11.4483,720.298,0
pt,11.0926,719.507,0
pt,10.7409,718.714,0
pt,10.3929,717.92,0
pt,10.0483,717.124,0
pt,9.70779,716.328,0
pt,9.37076,715.531,0
pt,9.03758,714.733,0
pt,8.70858,713.933,0
pt,8.3841,713.131,0
pt,8.06447,712.327,0
pt,7.75004,711.521,0
pt,7.44115,710.714,0
pt,7.13812,709.904,0
pt,6.8413,709.092,0
pt,6.55102,708.278,0
pt,6.26763,707.462,0
pt,5.99146,706.643,0
pt,5.72284,705.822,0
pt,5.46212,704.999,0
pt,5.20964,704.172,0
pt,4.99119,703.432,0
pt,4.77952,702.689,0
pt,4.57456,701.944,0
pt,4.37624,701.197,0
pt,4.18449,700.449,0
pt,3.99925,699.699,0
pt,3.82046,698.947,0
pt,3.64803,698.193,0
pt,3.48191,697.438,0
pt,3.32202,696.682,0
pt,3.1683,695.924,0
pt,3.02069,695.165,0
pt,2.87911,694.405,0
pt,2.74349,693.644,0
pt,2.61377,692.882,0
pt,2.48988,692.119,0
pt,2.35787,691.264,0
pt,2.2329,690.407,0
pt,2.11477,689.549,0
pt,2.00328,688.69,0
pt,1.89823,687.831,0
pt,1.79943,686.971,0
pt,1.70668,686.11,0
pt,1.61977,685.248,0
pt,1.53852,684.386,0
pt,1.46271,683.524,0
pt,1.39216,682.661,0
pt,1.32666,681.798,0
pt,1.26601,680.934,0
pt,1.21002,680.07,0
pt,1.15849,679.205,0
pt,1.11122,678.341,0
pt,1.08119,677.749,0
pt,1.05305,677.156,0
pt,1.02674,676.564,0
pt,1.00224,675.971,0
pt,0.979517,675.379,0
pt,0.95854,674.786,0
pt,0.939277,674.194,0
pt,0.921695,673.601,0
pt,0.905761,673.008,0
pt,0.891445,672.415,0
pt,0.878714,671.823,0
pt,0.867536,671.23,0
pt,0.857879,670.637,0
pt,0.849711,670.044,0
pt,0.842999,669.451,0
pt,0.837713,668.858,0
pt,0.83382,668.265,0
pt,0.831288,667.672,0
pt,0.830085,667.079,0
pt,0.830178,666.486,0
pt,0.831537,665.893,0
pt,0.834128,665.3,0
pt,0.83792,664.707,0
pt,0.842882,664.114,0
pt,0.84898,663.521,0
pt,0.856182,662.928,0
pt,0.864458,662.335,0
pt,0.873775,661.742,0
pt,0.8841,661.149,0
pt,0.895402,660.556,0
pt,0.907649,659.964,0
pt,0.920808,659.371,0
pt,0.938862,658.615,0
pt,0.958325,657.86,0
pt,0.979175,657.104,0
pt,1.00139,656.349,0
pt,1.02495,655.593,0
pt,1.04983,654.838,0
pt,1.076,654.082,0
pt,1.10346,653.327,0
pt,1.13217,652.572,0
pt,1.16211,651.817,0
pt,1.19326,651.062,0
pt,1.22561,650.307,0
pt,1.25911,649.552,0
pt,1.29377,648.797,0
pt,1.32954,648.042,0
pt,1.36642,647.287,0
pt,1.40438,646.532,0
pt,1.44339,645.778,0
pt,1.48344,645.023,0
pt,1.5245,644.268,0
pt,1.56655,643.514,0
pt,1.60957,642.759,0
pt,1.65353,642.005,0
pt,1.69842,641.25,0
pt,1.74421,640.496,0
pt,1.79089,639.742,0
pt,1.83842,638.987,0
pt,1.88679,638.233,0
pt,1.93597,637.479,0
pt,1.98595,636.725,0
pt,2.03669,635.971,0
pt,2.08819,635.217,0
pt,2.14621,634.38,0
pt,2.20511,633.543,0
pt,2.26489,632.706,0
pt,2.32552,631.869,0
pt,2.38698,631.033,0
pt,2.44928,630.196,0
pt,2.51239,629.359,0
pt,2.57629,628.523,0
pt,2.64099,627.686,0
pt,2.70645,626.85,0
pt,2.77267,626.013,0
pt,2.83964,625.177,0
pt,2.90734,624.341,0
pt,2.97575,623.505,0
pt,3.04487,622.668,0
pt,3.11467,621.832,0
pt,3.18516,620.996,0
pt,3.2563,620.16,0
pt,3.32809,619.324,0
pt,3.40052,618.488,0
pt,3.47357,617.653,0
pt,3.54722,616.817,0
pt,3.62147,615.981,0
pt,3.6963,615.145,0
pt,3.77169,614.31,0
pt,3.84763,613.474,0
pt,3.92412,612.639,0
pt,4.00113,611.803,0
pt,4.07864,610.968,0
pt,4.15666,610.132,0
pt,4.23516,609.297,0
pt,4.31413,608.462,0
pt,4.37027,607.871,0
pt,4.42663,607.28,0
pt,4.48321,606.689,0
pt,4.54,606.099,0
pt,4.597,605.508,0
pt,4.6542,604.917,0
pt,4.71161,604.326,0
pt,4.7692,603.736,0
pt,4.82699,603.145,0
pt,4.88496,602.554,0
pt,4.9431,601.964,0
pt,5.00143,601.373,0
pt,5.05991,600.783,0
pt,5.11857,600.192,0
pt,5.17738,599.601,0
pt,5.23635,599.011,0
pt,5.29546,598.42,0
pt,5.35472,597.83,0
pt,5.41412,597.239,0
pt,5.47365,596.649,0
pt,5.53331,596.058,0
pt,5.5931,595.468,0
pt,5.65301,594.877,0
pt,5.71302,594.287,0
pt,5.77315,593.696,0
pt,5.83339,593.106,0
pt,5.89372,592.516,0
pt,5.95415,591.925,0
pt,6.01466,591.335,0
pt,6.07527,590.744,0
pt,6.13595,590.154,0
pt,6.1967,589.564,0
pt,6.25753,588.973,0
pt,6.31842,588.383,0
pt,6.37937,587.792,0
pt,6.44038,587.202,0
pt,6.50143,586.612,0
pt,6.56253,586.021,0
pt,6.62368,585.431,0
pt,6.68485,584.841,0
pt,6.74606,584.25,0
pt,6.80729,583.66,0
pt,6.86854,583.07,0
pt,6.92981,582.479,0
pt,6.99109,581.889,0
pt,7.05237,581.299,0
pt,7.11366,580.708,0
pt,7.17494,580.118,0
pt,7.23621,579.528,0
pt,7.29746,578.937,0
pt,7.3587,578.347,0
pt,7.41991,577.757,0
pt,7.4811,577.166,0
pt,7.54225,576.576,0
pt,7.60336,575.986,0
pt,7.66443,575.395,0
pt,7.72544,574.805,0
pt,7.78641,574.215,0
pt,7.84731,573.624,0
pt,7.90815,573.034,0
pt,7.96893,572.444,0
pt,8.02963,571.853,0
pt,8.09025,571.263,0
pt,8.15078,570.672,0
pt,8.23519,569.848,0
pt,8.31942,569.023,0
pt,8.40348,568.198,0
pt,8.48735,567.374,0
pt,8.57105,566.549,0
pt,8.65457,565.724,0
pt,8.73791,564.9,0
pt,8.82107,564.075,0
pt,8.90404,563.25,0
pt,8.98683,562.425,0
pt,9.06943,561.6,0
pt,9.15184,560.776,0
pt,9.23406,559.951,0
pt,9.31609,559.126,0
pt,9.39792,558.301,0
pt,9.47957,557.476,0
pt,9.56101,556.651,0
pt,9.64226,555.826,0
pt,9.72331,555.001,0
pt,9.80416,554.176,0
pt,9.88481,553.351,0
pt,9.96526,552.526,0
pt,10.0455,551.701,0
pt,10.1255,550.876,0
pt,10.2054,550.051,0
pt,10.285,549.226,0
pt,10.3644,548.401,0
pt,10.4436,547.576,0
pt,10.5226,546.75,0
